@id,@lat,@lon,name,historic,tourism,leisure,natural,amenity,artwork_type;
299809,58.7102637,15.7438510,,,information,,,,;
599753,59.1957498,16.6178541,Avrättningsplats,archaeological_site,,,,,;
617941,46.1749207,6.8704190,Champéry,,information,,,,;
770110,46.9298077,7.5308804,Rüfenacht,,information,,,,;
3398723,46.6797742,6.3506997,Chalet de la Dent de Vaulion,,information,,,,;
8204264,46.5786473,8.3863968,,,viewpoint,,,,;
8983852,46.4539098,7.5608098,Engstligenfall,,attraction,,,,;
9240609,58.8240962,12.5239635,,,information,,,,;
9481514,46.5075772,7.5692441,Hörnli,,information,,,,;
11210062,46.1966279,8.8484174,007 Bungy Jumping,,attraction,,,,;
11246651,46.3604527,8.9556502,Pasquerio,,information,,,,;
11522901,61.4527372,16.3798283,Träslottet,,information,,,,;
12443131,46.3396632,8.8024832,Frasco,,information,,,,;
12449410,46.1857718,8.7545305,,,information,,,,;
12805374,58.1458286,15.6343738,,,viewpoint,,,,;
13823739,58.2847839,16.5070733,,,museum,,,,;
17280815,47.4555561,7.8296149,Thürnen,,information,,,,;
21013513,58.1278354,13.3350317,,,information,,,,;
21761857,47.3709230,8.9417356,Hörnli,,viewpoint,,peak,,;
24870848,46.6099130,8.5718071,Gamssteg,,information,,,,;
24977811,46.8817746,8.6439554,Telldenkmal,monument,,,,,;
25582108,47.4985733,8.7266695,,,information,,,,;
26027491,46.8092454,9.8409423,,,information,,,,;
26027492,46.8096507,9.8402395,,,information,,,,;
26027518,46.8013176,9.8288859,,,information,,,,;
"26123355,59.6164725,17.7216531,""Sigtuna Turistbyrå, Drakegården"",,information,,,,";
26337168,50.4646117,30.5179176,Григорію Сковороді,memorial,,,,,;
27349881,56.5987078,14.2135116,,,information,,,,;
27376317,56.0216161,14.1838874,Sveriges lägsta punkt,,attraction,,,,;
27404163,56.6695601,16.2982445,,,information,,,,;
27405028,56.7558553,15.8809119,,,information,,,parking,;
27495880,47.3512782,8.6409149,Ebmatingen,,information,,,,;
27495881,47.3523550,8.6415310,,,information,,,,;
27504008,46.5148336,8.7121647,Deggio,,information,,,,;
27504025,46.5195351,8.6979785,,,information,,,,;
27504027,46.5196863,8.6966305,Ronco,,information,,,,;
27504041,46.5222315,8.6853604,Cresta di sopra,,information,,,,;
27504047,46.5243649,8.6840807,Altanca Foss,,information,,,,;
27505232,47.2884905,8.7122547,,,information,,,vending_machine,;
27665895,47.3502882,8.6393836,,,information,,,,;
27914584,44.5173181,33.4696546,,,,,cave_entrance,,;
28550002,47.5907072,9.0702210,,,information,,,,;
29339976,59.4553030,17.9986419,,monument,,,,,;
29567281,46.9345313,7.4462811,Schönausteg,,information,,,,;
29775128,59.3249529,18.0706429,Gamla stan,,attraction,,,,;
29835352,59.3356914,18.0549108,Mäster Palm,monument,,,,,;
29898032,59.3263494,18.0840004,Moderna museet,,museum,,,,;
29919095,59.3723442,18.1995089,,,information,,,,;
30000154,47.3923731,8.4483685,,,information,,,,;
30000501,47.3909988,8.4524973,Stärpel,,information,,,,;
30015174,47.6773586,8.6149442,Fischetz,,viewpoint,,,,;
30015185,47.6774486,8.6145824,Känzeli Schloss Laufen,,viewpoint,,,,;
30123429,47.1745454,8.7120607,Schindellegi,,information,,,,;
30123455,47.1537110,8.7277124,,,information,,,,;
30123524,47.1296161,8.7936625,Willerzell,,information,,,,;
30123780,47.1306946,8.8881797,Sonne (Vorderthal),,information,,,,;
30123880,47.1928524,8.8228308,,,information,,,,;
30153806,57.7144532,11.9317850,,,viewpoint,,,,;
30488448,57.6971416,11.9366462,,,viewpoint,,,,;
30499767,46.9570864,8.6756331,Klingenstock,,information,,,,;
30731849,59.3807900,13.5023900,Fredsmonumentet,memorial,,,,,;
30838518,46.4757316,7.6783783,Fisischafberg,,information,,,,;
30838531,46.4707665,7.6721550,Jegertosse,,viewpoint,,,,;
30838816,46.4821315,7.6834745,Fisialp,,information,,,,;
30838830,46.4827896,7.6824702,,,information,,,,;
30838851,46.4845538,7.6828746,,,information,,,,;
30843265,46.4655557,7.6464639,Gratsattel,,viewpoint,,,,;
30843278,46.4638919,7.6469137,Gällihore,,viewpoint,,,,;
30843714,46.4572378,7.6234756,,,information,,,,;
30859228,46.5902368,7.6883224,Rastplatz Chueweid,,viewpoint,,,,;
31008784,59.3655862,18.0710471,4-H Gården,,zoo,,,,;
31008790,59.3645618,18.0707973,,,information,,,,;
31233627,47.3844512,8.6589895,Schwerzenbach,,information,,,,;
31241113,47.3628979,7.8104669,Belchenflue,,viewpoint,,peak,,;
31329641,46.9815060,8.6641376,Stoos Bergstation Luftseilbahn,,information,,,,;
31580813,59.3786529,18.1562211,Lidingöloppet,monument,,,,,;
31594653,59.3787581,18.1557038,Lidingöloppet,,information,,,,;
31664300,46.6940109,7.5377356,Stockhorn,,viewpoint,,peak,,;
32006787,58.9003444,11.9374217,,,information,,,,;
32044989,46.7496144,10.0791706,,,information,,,,;
32606783,46.9515310,7.4598367,,,viewpoint,,,,;
32609996,46.8154769,7.4945493,Abegg Stiftung,,museum,,,,;
32641049,58.2510003,13.3514812,Bastöna gammelgård,,museum,,,,;
32707625,47.4624978,8.1837503,Habsburg,,information,,,,;
33075889,47.0397083,9.0711748,Glarus,,information,,,,;
33210806,47.4104670,8.6460363,Wangen,,information,,,,;
33233747,56.2171442,16.4239003,,,viewpoint,,,,;
33263077,47.3200539,7.8992554,Aarburg Brücke,,information,,,,;
33327398,47.1639585,8.9936137,Ussbüel,,information,,,,;
33402398,46.4512600,7.6894088,,,viewpoint,,,,;
33592831,47.1471792,9.1746211,,,information,,,,;
33592872,47.1320927,9.0936483,Linthkanal,,information,,,,;
33633470,47.2030674,8.9413743,Tuggen,,information,,,,;
33642906,47.1761415,8.9408797,,,information,,,,;
33770155,61.4280096,13.4726442,Bunkris brandtorn (Bunkris fire tower),,viewpoint,,,,;
34078848,47.5047454,8.7433386,,,viewpoint,,,,;
34078850,47.4961964,8.7244772,,,viewpoint,,,,;
34095568,47.2697651,8.7214148,Oetwil,,information,,,,;
34095624,47.2715851,8.6777497,Rundi,,information,,,,;
34148088,47.3031352,8.5927429,,,information,,,,;
34972995,46.7824542,9.6801146,,,information,,,,;
34973065,46.7746938,9.6645639,Kulm Innerarosa,,information,,,,;
34973111,46.7909728,9.6752762,Prätschli,,information,,,,;
35176969,60.4861639,15.4339630,Jussi Björling,memorial,artwork,,,,statue;
35180432,59.4042955,18.0020704,Edsviksgrottan,archaeological_site,,,,,;
35296928,46.5246786,6.6352394,Esplanade du Château,,viewpoint,,,,;
35635934,47.2388092,8.7185178,Stäfa Schiff,,information,,,,;
35637125,47.2407768,8.7220037,Stäfa,,information,,,,;
35975036,58.9537385,16.8862238,Spikstenen,,attraction,,scree,,;
36161419,46.9013052,7.2397132,Laupen,,information,,,,;
36309601,59.3298670,18.1322711,,,information,,,,;
36677586,59.3993650,18.0014546,,,information,,,,;
36990350,47.5029566,7.7151007,Frenkendorf,,information,,,,;
38419827,59.4799566,17.9284647,,,viewpoint,,,,;
38453957,47.1204064,9.1573862,Mülital,,information,,,,;
40167978,46.7120803,8.2165569,Aareschlucht Osteingang,,information,,,,;
40251419,46.6761776,8.1341066,,,information,,,,;
40251474,46.7059344,8.2293758,Innertkirchen,,information,,,,;
47704184,59.3690466,18.0540033,Naturhistoriska riksmuseet,,museum,,,,;
50086939,47.0702772,9.4814613,Trübbach Rheindamm,,information,,,,;
50371018,47.5636341,8.5452814,Tössriederen,,information,,,,;
51989980,46.2113647,7.3982998,,,information,,,,;
51990123,46.1982981,7.4017485,,,information,,,,;
52586897,57.6505104,18.3072178,Galgberget,ruins,attraction,,,,;
54040318,57.6228947,18.2740677,Välkommen att ta en paus!,,information,,,,;
54110997,59.4389400,17.9460438,,archaeological_site,,,,,;
54129336,59.4030916,17.9965344,,,,,cave_entrance,,;
55199346,59.3938036,18.0119639,,,viewpoint,,,,;
56877256,47.6669077,8.8581363,Restaurant Burg Hohenklingen,,attraction,,,restaurant,;
57429593,63.0535734,16.5190292,Döda fallet,,attraction,,,,;
57474533,46.9386900,8.9979619,Braunwald,,information,,,,;
57475648,46.9390849,8.9919461,Hüttenberg,,information,,,,;
57750427,47.6640792,8.4846694,Bergtrotte,,information,,,,;
58009017,47.4044481,8.6722325,,,information,,,,;
59139772,47.2267866,8.8137639,Schlossgarten,,viewpoint,,,,;
59318777,46.3775601,8.0253478,,,information,,,,;
59908184,47.6376249,8.8993499,,,viewpoint,,,,;
60018172,46.2073807,6.1558891,Jet d'eau,,attraction,,,fountain,;
60043534,47.2479580,8.7148574,,,viewpoint,,,,;
60166425,46.2345772,7.8714684,Pluto (Planetenweg),,attraction,,,,;
60191130,59.3267344,18.0749661,Gustav III,memorial,,,,,;
60199603,46.1396524,7.3336292,,,information,,,,;
60228773,47.2907129,8.6733614,Aussichtsturm Pfannenstiel (Alter Bachtelturm),,viewpoint,,,,;
60404147,47.1950521,8.5230612,Baar SBB,,information,,,,;
60404149,47.1937404,8.5237040,Dorfstrasse,,information,,,,;
60515220,47.1994041,8.7229090,,,information,,,,;
60525054,47.2499969,8.5311410,Heisch,,information,,,,;
60547232,47.2324232,8.6437788,,,information,,,,;
60547245,47.2321834,8.6434961,,,information,,,,;
60547276,47.2314133,8.6351867,Neubühl,,information,,,,;
60630911,47.3356468,8.8565128,Bäretswil,,information,,,,;
60674548,47.6593612,8.8599704,Tourist Information,,information,,,,;
60890624,46.7276185,8.1842789,Meiringen,,information,,,,;
60941424,47.2160725,8.9699061,Grynau,,information,,,,;
61277266,59.3906446,18.0136132,Orangerimuseet,,museum,,,,;
61839643,59.4363260,17.9469835,,archaeological_site,,,,,;
63378736,47.2164796,8.2217833,Erlosen,,information,,,,;
64583491,47.1991182,7.6951130,Wanzwil,,information,,,,;
66540544,47.2700412,9.0369355,Gebertingerwald,,information,,,,;
66944771,47.3925653,9.4609776,Wissegg,,information,,,,;
66950141,47.2006585,8.7049675,,,information,,,,;
67763112,47.2137309,8.6076173,,,information,,,,;
67770564,47.2260283,8.5958799,,,information,,,,;
68327498,57.6390968,18.2909807,Gotlands Turistbyrå,,information,,,,;
73014199,46.7660015,9.9404109,,,information,,,,;
73014432,46.8003178,9.9002207,Alpenrose,,information,,,,;
73014486,46.8113311,9.8506473,,,information,,,,;
73014489,46.8118587,9.8480001,,,information,,,,;
73935806,59.6294696,16.6449338,,,information,,,,;
75410204,47.1918229,8.6859072,Samstagern,,information,,,,;
76481489,46.3275267,10.0568829,Poschiavo,,information,,,,;
76481589,46.3898964,10.0793019,Sfazù,,information,,,,;
78478354,59.6124388,16.5403836,Johannes Rudbeckius,memorial,,,,,;
78487345,59.6107228,16.5425281,Aseaströmmen,monument,,,,,;
79898788,47.0591820,8.6958579,,,information,,,,;
80017558,46.7945178,9.3198677,,,information,,,,;
80017589,46.7887538,9.2960109,Carrera,,information,,,,;
80021901,46.7013274,9.4472715,,,information,,,,;
80027237,46.6462884,10.2709679,,,information,,,,;
80027297,46.6640124,10.2103102,Il Fuorn,,information,,,,;
81095030,59.6149206,16.5555420,Teknikbyn Kopparlunden,,information,,,,;
81489684,59.6035097,16.5489505,Harbour,,attraction,,,,;
81609149,59.6019709,16.5460029,,,information,,,,;
82675534,46.4401535,8.8415047,Lavorgo,,information,,,,;
82760152,46.2414003,6.2458455,Corsinge Les Murailles,,information,,,,;
83208442,46.0730556,7.0248579,,,information,,,,;
83209061,46.0525381,6.9942378,,,information,,,,;
85916687,46.5128719,9.8669563,,,information,,,,;
85916692,46.5124692,9.8701686,,,information,,,,;
85971586,46.5213052,9.8665799,,,information,,,,;
87659548,47.1422117,7.6970997,Riedtwil,,information,,,,;
88888634,47.4743426,8.3144823,Schartenfels,,information,,,,;
89118028,47.0511445,9.4713099,Sarganser Au,,information,,,,;
90278499,59.3226493,18.1334493,Genius,,artwork,,,,statue;
91106098,65.1109997,20.7755976,Marranäsvältan,,viewpoint,,peak,,;
91716247,47.2116967,7.9843441,,,information,,,,;
92291197,47.4268588,8.5747571,,,information,,,,;
92526564,47.4197988,8.5981725,Rieden,,information,,,,;
94066107,59.4410624,17.9556476,Edsbergs slott,palace,attraction,,,,;
94712200,47.3948260,8.5898556,,,information,,,,;
94797246,47.4421005,8.6172632,,,information,,,,;
97938597,47.3400487,8.6785533,Maur Schifflände,,information,,,,;
97968022,47.3926476,8.6470460,Gfenn,,information,,,,;
98019541,47.4323937,8.5783541,Opfikon,,information,,,,;
98025060,47.4167475,8.5669501,,,information,,,,;
98033740,47.4314056,8.5709920,,,information,,,,;
98038782,47.4854669,8.5146854,,,information,,,,;
99190417,47.4033902,8.6675242,,,information,,,,;
99199244,47.4157051,8.6525120,,,information,,,,;
99224886,47.3814471,8.6352676,Hermikon,,information,,,,;
99338789,47.5092728,8.5042799,Niederhöri,,information,,,,;
99408008,47.5503687,8.5210097,,,information,,,,;
99415770,47.5152614,8.5195961,,,information,,,,;
99417104,47.5039555,8.4997234,Oberhöri,,information,,,,;
100016198,47.4359208,8.4999151,,,information,,,,;
100025311,47.4310551,8.5119418,,,information,,,,;
100025320,47.4331554,8.5064268,,,information,,,,;
100221263,47.3640683,8.6202528,Pfaffhausen,,information,,,,;
100224777,47.3667763,8.6120511,,,information,,,,;
