@id,@lat,@lon,name,historic,tourism,leisure,natural,amenity,artwork_type;
"702619,48.1408242,17.2674429,""Most pri Bratislave, Bratislavská ul."",,information,,,,";
702620,48.1407325,17.2667200,Most pri Bratislave,,information,,,,;
"2491122,48.1536073,17.2600541,""Most pri Bratislave, Malý Dunaj"",,information,,,,";
6310572,48.1942446,17.2977310,,,information,,,,;
"8085802,48.1734447,17.2518883,""Prucké, Rázcestie"",,information,,,,";
13833958,48.3955207,17.3354734,Hrad Červený Kameň,,information,,,,;
"15192479,48.8173549,19.4982557,""Lopej, bus"",,information,,,,";
"15192601,48.8063366,19.6442514,""Brezno, námestie"",,information,,,,";
15192623,48.8209942,19.6751510,Ježová dolina,,information,,,,;
15192697,48.8229221,19.7224585,Liesková dolina,,information,,,,;
15192802,48.8285532,19.7614861,Beňuš,,information,,,,;
"15192972,48.8482660,20.0283317,""Pohorelská Maša, zastávka"",,information,,,,";
"15193137,48.8516477,20.1992636,""Telgárt, penzión"",,information,,,,";
15193348,48.8548663,20.3550857,Pod Čižmou,,information,,,,;
15193522,48.8210535,20.3591453,Dobšiná - Depovo,,information,,,,;
"15196033,48.6763900,20.3556369,""Roštár, Medený Hámor"",,information,,,,";
"15196149,48.6594143,20.2959175,""Hrádok, horáreň"",,information,,,,";
15212176,48.8664646,20.3812205,Dedinky,,information,,,,;
"15232610,48.7165414,20.4243612,""Henckovce, Pališov"",,information,,,,";
15234945,48.6530074,20.6028863,Krásnohorské Podhradie,,information,,,,;
"20827999,48.0540740,17.1470865,""Rusovce, Rímsky parčík"",,information,,,,";
24322515,48.1984904,17.3663489,Pri kríži,,information,,,,;
"24971765,49.3368087,18.5604685,""Veľké Rovné, Ivor"",,information,,,,";
"24971903,49.3651301,18.5840714,""Vysoká nad Kysucou, Grušpierovci"",,information,,,,";
24972016,49.4225246,18.6861222,Staškov,,information,,,,;
24990769,49.4626169,18.6533389,,,information,,,,;
"25365825,48.2135550,17.1517825,""Rača, nám."",,information,,,,";
"25469874,48.1537653,17.2376881,""Letisko, odbočka k mohyle"",,information,,,,";
25606107,49.1794584,20.0880767,Rysy,,information,,,,;
25606346,48.0069738,17.1610341,Trojmedzie SK-A-H,,information,,,,;
26013010,42.3013830,-1.7970239,,,viewpoint,,,,;
26022481,42.3353236,-1.9254620,,,information,,,,;
26025693,42.2977122,-1.9069918,,,information,,,,;
"26052029,48.2138455,17.1519327,""Rača, Námestie Andreja Hlinku"",,information,,,,";
26079670,48.2150884,17.1432313,,,information,,,,;
"26113243,48.3707771,17.5834157,""Trnava, žel. stanica"",,information,,,,";
26133409,48.4673511,18.1450257,Oponice,,information,,,,;
26152003,48.3885285,18.3634643,,,information,,,,;
26152054,48.5002101,18.4267158,Skýcov,,information,,,,;
26242740,40.4365427,-3.7067237,SelfieWallFiction,,artwork,,,,;
"26397501,48.3569461,17.3094147,""Harmónia, stará vodáreň"",,information,,,,";
26397513,48.3724237,17.2964823,Kamenný most,,information,,,,;
26407335,48.6112585,18.3426216,Brodzany,,information,,,,;
26407375,48.6551611,18.5047577,,,information,,,,;
26407852,48.7698703,18.6195555,Carpathia,,information,,,,;
"26438064,48.3094848,17.2875640,""Vinosady, pri Kostole"",,information,,,,";
26438071,48.3080867,17.2909401,Vinosady,,information,,,,;
26449313,49.1503279,21.3150208,,,information,,,,;
26449322,49.1875195,21.3088538,Janovce,,information,,,,;
