osm_id,lat,lon,name,amenity,historic,railway,aeroway,highway,tourism,leisure,religion,place,craft,shop,cuisine,diet_gluten_free,diet_gluten_free_only,diet_vegetarian,opening_hours,phone,website,wikipedia,wikidata,wikimedia_commons,image,country_code,macro_categoria,sotto_categoria,is_gemma,descrizione_ai,audio_guide_url
308836349,44.0787398,10.0989671,Farmacia Biso,pharmacy,,,,,,,,,,,,,,,,+39 0585 75092,,,,,,IT,utilita,farmacia,false,Tel: +39 0585 75092. ,
308836455,44.0580358,10.0859691,Farmacia Comunale La Perla,pharmacy,,,,,,,,,,,,,,,,+39 0585 841113,http://apuafarma.net,,,,,IT,utilita,farmacia,false,Tel: +39 0585 841113. ,
308836456,44.0638497,10.0774209,Farmacia dello Stadio,pharmacy,,,,,,,,,,,,,,,,+39 0585 840210,,,,,,IT,utilita,farmacia,false,Tel: +39 0585 840210. ,
980058872,44.055944,10.1413118,La Ruota,restaurant,,,,,,,,,,,regional,,,,,,,,,,,IT,locali,ristorante,false,,
1136375648,44.0789921,10.1010035,Alberto Meschi,,memorial,,,,,,,,,,,,,,,,,,Q114453466,,,IT,monumenti,monumento,true,,
1136380155,44.0767912,10.0966411,La donna nella Resistenza,,memorial,,,,,,,,,,,,,,,,,,,,,IT,monumenti,monumento,false,,
1847508975,44.114719,10.1229849,Piazzale dell'Uccelliera,,,,,,viewpoint,,,,,,,,,,,,,,,,,IT,monumenti,panorama,false,,
1866295828,44.0714146,10.064613,,drinking_water,,,,,,,,,,,,,,,,,,,,,,IT,utilita,fontanella,false,,
1866317650,44.0780126,10.0627676,Focacceria Santa Lucia,restaurant,,,,,,,,,,,,,,,,,,,,,,IT,locali,ristorante,false,,
1870108895,44.0728738,10.0630428,Ristorante Radar,restaurant,,,,,,,,,,,,,,,,,,,,,,IT,locali,ristorante,false,,
1870121680,44.0858068,10.0644912,Ristorante da Mauro,restaurant,,,,,,,,,,,,,,,,,,,,,,IT,locali,ristorante,false,,
1912554396,44.0890125,10.0541019,,drinking_water,,,,,,,,,,,,,,,,,,,,,,IT,utilita,fontanella,false,,
2130929837,44.065955,10.1221181,Monumento a Giudice,,memorial,,,,,,,,,,,,,,,,,,,,,IT,monumenti,monumento,false,,
2130931007,44.0659511,10.1219625,Cippo della scuola di Bergiola Foscalina,,memorial,,,,,,,,,,,,,,,,,,,,,IT,monumenti,monumento,false,,
2130932166,44.0665351,10.1247198,Lapide a Fabbiani,,memorial,,,,,,,,,,,,,,,,,,,,,IT,monumenti,monumento,false,,
2130933884,44.0670246,10.1246555,Monumento dell'eccidio di Bergiola,,monument,,,,,,,,,,,,,,,,,,,,,IT,monumenti,monumento,false,,
2623907432,44.0550517,10.0629059,Scultura Dunchi,,monument,,,,,,,,,,,,,,,,,,,,,IT,monumenti,monumento,false,,
2623907433,44.0661889,10.067484,Palazzetti,,castle,,,,,,,,,,,,,,,,,,Q67642490,,,IT,monumenti,monumento,true,,
2623915491,44.0785291,10.1271512,Ometto,restaurant,,,,,,,,,,,regional,,,,,+39 0585 70302,https://www.trattoriaometto.it/,,,,,IT,locali,ristorante,false,Tel: +39 0585 70302. ,
2623942595,44.0862984,10.127362,Ponti di Vara,,,,,,viewpoint,,,,,,,,,,,,,,,,,IT,monumenti,panorama,false,,
2624799958,44.1136881,10.080274,Maestà,place_of_worship,,,,,,,,,,,,,,,,,,,,,,IT,monumenti,chiesa,false,,
2956220552,44.0594463,10.0556608,,drinking_water,,,,,,,,,,,,,,,,,,,,,,IT,utilita,fontanella,false,,
3868183409,44.0758782,10.0966388,Gandhi,restaurant,,,,,,,,,,,indian,,,,"PH,Mo-Su 11:00-15:00,18:00-23:30",,,,,,,IT,locali,ristorante,false,"Orari: PH,Mo-Su 11:00-15:00,18:00-23:30. ",
4463224991,44.0502748,10.0584303,Distretto Avenza ASL Nord-Ovest,hospital,,,,,,,,,,,,,,,,,,,,,,IT,utilita,ospedale,false,,
4591762022,44.0713291,10.0785803,monumento ai caduti,,memorial,,,,,,,,,,,,,,,,https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/0900959891,,,,,IT,monumenti,monumento,false,Allegoria del soldato come eroe antico,
4782018543,44.0791333,10.0975848,Cibart,bar,,,,,,,,,,,,,,,Tu-Su 12:00-00:00,+39 0585 70210,https://www.studioformart.it/,,,,,IT,locali,bar_caffe,false,dynamic showroom bar,
